,Released,Movie,Genre,Budget,Revenue,Trailer,Year
83,2011-12-31 00:00:00,2-Face,Comedy,,0.0,,2011
84,2003-06-06 00:00:00,2 Fast 2 Furious,Action,76000000.0,127120058.0,,2003
85,2005-10-07 00:00:00,2 For the Money,Drama,20000000.0,22991379.0,,2005
86,2013-08-02 00:00:00,2 Guns,Action,61000000.0,75612460.0,Play,2013
87,2012-12-31 00:00:00,2 Headed Shark Attack,Horror,,0.0,,2012
88,2010-10-25 00:00:00,2 Hot 2 Dance Mix,Concert/Performance,,0.0,,2010
89,2008-10-17 00:00:00,Los 2 lados de la cama,Comedy,,0.0,,2008
90,2000-11-03 00:00:00,"2 Männer, 2 Frauen - 4 Probleme!?",Comedy,,14940.0,,2000
91,2010-12-31 00:00:00,2 Million Stupid Women,,,0.0,,2010
92,2006-11-17 00:00:00,2 ou 3 choses que je sais d'elle,Drama,,104038.0,,2006
93,2014-12-31 00:00:00,"20,000 Days on Earth",Drama,,0.0,,2014
94,1916-12-24 00:00:00,"20,000 Leagues Under the Sea",Adventure,200000.0,8000000.0,,1916
95,1954-12-23 00:00:00,"20,000 Leagues Under the Sea",Adventure,5000000.0,28200000.0,,1954
96,2010-11-09 00:00:00,20 Anos De Exitos En Vivo,Concert/Performance,,0.0,,2010
97,2006-10-27 00:00:00,20 centiímetros,Comedy,,6635.0,,2006
98,1999-02-26 00:00:00,20 Dates,Comedy,66000.0,541636.0,,1999
99,2008-12-31 00:00:00,20-seiki shônen,Adventure,,0.0,,2008
100,2013-06-14 00:00:00,200 Cartas,Romantic Comedy,,9338.0,,2013
101,1999-02-26 00:00:00,200 Cigarettes,Romantic Comedy,6000000.0,6852450.0,,1999
102,2006-12-31 00:00:00,200 Pounds Beauty,,,0.0,,2006
103,2011-12-31 00:00:00,"20,00 Leagues Under the Sea",Adventure,,0.0,,2011
104,1968-04-02 00:00:00,2001: A Space Odyssey,Adventure,10500000.0,56700000.0,,1968
105,2010-07-20 00:00:00,2001 Maniacs: Field of Screams,,,0.0,,2010
106,2006-02-24 00:00:00,2005 Academy Award Nominated Short Films,Multiple Genres,,157415.0,,2006
107,2007-02-16 00:00:00,2006 Academy Award Nominated Short Films,Multiple Genres,,335090.0,,2007
108,2008-02-15 00:00:00,2007 Academy Award Nominated Short Films,Multiple Genres,,508695.0,,2008
109,2008-09-30 00:00:00,2008 Olympics: Beijing 2008 Complete Opening Ceremony,,,0.0,,2008
110,2008-09-30 00:00:00,2008 Olympics: Beijing 2008 Highlights – The Games of the XXIX Olympiad,,,0.0,,2008
111,2009-02-06 00:00:00,2009 Oscar Shorts,Multiple Genres,,644635.0,,2009
112,1984-12-07 00:00:00,2010,Thriller/Suspense,,41000000.0,,1984
113,2010-02-19 00:00:00,2010 Oscar Shorts,Multiple Genres,,1018169.0,,2010
114,2010-04-13 00:00:00,2010 Winter Olympics,,,0.0,,2010
115,2011-02-11 00:00:00,2011 Oscar Shorts,Multiple Genres,,1352152.0,,2011
116,2009-11-13 00:00:00,2012,Action,200000000.0,166112167.0,Play,2009
117,2008-02-12 00:00:00,2012: Doomsday,,,0.0,,2008
118,2011-12-31 00:00:00,2012 Ice Age,,,0.0,,2011
119,2012-02-10 00:00:00,2012 Oscar Shorts,Multiple Genres,,1702415.0,,2012
120,2010-04-09 00:00:00,2012: Time for Change,Drama,,68339.0,,2010
121,2011-12-31 00:00:00,2012 Zombie Apocalypse,Horror,,0.0,,2011
122,2013-07-30 00:00:00,2012 NBA Champions: Miami Heat,Documentary,,0.0,,2013
123,2013-02-01 00:00:00,2013 Oscar Shorts,Multiple Genres,,2142342.0,,2013
124,2013-11-26 00:00:00,2013 World Champions: Boston Red Sox,Documentary,,0.0,,2013
125,2014-01-31 00:00:00,2014 Oscar Shorts,Multiple Genres,,2357890.0,,2014
126,2012-07-13 00:00:00,2016: Obama's America,Documentary,,33349941.0,,2012
127,2005-08-05 00:00:00,2046,Drama,12000000.0,1442338.0,,2005
128,2008-03-21 00:00:00,21,Thriller/Suspense,35000000.0,81159365.0,,2008
129,2010-12-07 00:00:00,21.00: Eros Live World Tour 2009/2010,Concert/Performance,,0.0,,2010
130,2009-12-31 00:00:00,21 and a Wakeup,,,0.0,,2009
131,2013-03-01 00:00:00,21 and Over,Comedy,13000000.0,25682380.0,Play,2013
132,2003-11-21 00:00:00,21 Grams,Drama,20000000.0,16248701.0,,2003
133,2012-03-16 00:00:00,21 Jump Street,Comedy,,138447667.0,Play,2012
134,2014-06-13 00:00:00,22 Jump Street,Comedy,,0.0,,2014
135,2011-12-31 00:00:00,23:59,Horror,,0.0,,2011
136,2013-12-31 00:00:00,23 Blast,Documentary,,0.0,,2013
137,1998-04-15 00:00:00,24 7: Twenty Four Seven,Comedy,2000000.0,72544.0,,1998
138,2009-06-05 00:00:00,24 City,,,30799.0,,2009
139,2014-01-24 00:00:00,24 Exposures,Thriller/Suspense,,0.0,,2014
140,2002-08-09 00:00:00,24 Hour Party People,Drama,,1169030.0,,2002
141,1999-01-29 00:00:00,The 24 Hour Woman,Comedy,,109148.0,,1999
142,2011-12-31 00:00:00,24: The Movie,Thriller/Suspense,,0.0,,2011
143,2012-10-23 00:00:00,247 F,Horror,,0.0,,2012
144,2004-05-14 00:00:00,The 24th Day,Drama,,14107.0,,2004
145,2002-12-19 00:00:00,25th Hour,Drama,4500000.0,13084595.0,,2002
146,2008-01-13 00:00:00,27 Dresses,Romantic Comedy,,76808654.0,,2008
147,2000-04-14 00:00:00,28 Days,Comedy,43000000.0,37035515.0,,2000
148,2003-06-27 00:00:00,28 Days Later...,Horror,8000000.0,45064915.0,,2003
149,2012-11-09 00:00:00,28 Hotel Rooms,Drama,,18869.0,,2012
150,2011-12-31 00:00:00,28 Months Later,Horror,,0.0,,2011
151,2007-05-11 00:00:00,28 Weeks Later,Horror,15000000.0,28638916.0,,2007
152,1991-11-01 00:00:00,29th Street,Comedy,,1287171.0,,1991
153,1999-11-26 00:00:00,2by4,Drama,,16637.0,,1999
154,2011-09-16 00:00:00,3,Drama,7200000.0,59774.0,,2011
155,2012-10-12 00:00:00,"3, 2, 1... Frankie Go Boom",Comedy,,0.0,,2012
156,2007-12-31 00:00:00,3 amis,Comedy,,0.0,,2007
157,2011-03-11 00:00:00,3 Backyards,Drama,300000.0,39475.0,,2011
158,2011-12-31 00:00:00,3 Blind Saints,Comedy,,0.0,,2011
159,2005-09-30 00:00:00,3 Days of Rain,Drama,,2841.0,,2005
160,2013-05-22 00:00:00,3 Geezers,Comedy,,0.0,,2013
161,1986-04-25 00:00:00,3 hommes et un couffin,Comedy,,1634489.0,,1986
162,2009-12-23 00:00:00,3 Idiots,Comedy,,6533849.0,,2009
163,1987-11-25 00:00:00,3 Men and a Baby,Comedy,15000000.0,167780960.0,,1987
